SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
308476,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:O75964,230,1,0,0,0.76065678,false,0,uniprotkb:O75964,0,0,No
308477,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9H0U6,230,1,0,0,0.76065678,false,0,uniprotkb:Q9H0U6,0,0,No
308478,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9P0M9,230,1,0,0,0.76065678,false,0,uniprotkb:Q9P0M9,0,0,No
308479,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9BYD3,230,1,0,0,0.76065678,false,0,uniprotkb:Q9BYD3,0,0,No
308480,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9Y606,230,1,0,0,0.76065678,false,0,uniprotkb:Q9Y606,0,0,No
308481,4.58990913,0,0.21786924,1,3,10,false,2,uniprotkb:P09001,116.5,3,0,1,0.76067272,false,0,uniprotkb:P09001,0,0.50652174,No
308482,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9P2R7,230,1,0,0,0.76065678,false,0,uniprotkb:Q9P2R7,0,0,No
308483,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P54886,230,1,0,0,0.76065678,false,0,uniprotkb:P54886,0,0,No
308484,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9HC36,230,1,0,0,0.76065678,false,0,uniprotkb:Q9HC36,0,0,No
308485,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P46199,230,1,0,0,0.76065678,false,0,uniprotkb:P46199,0,0,No
308486,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q8N983,230,1,0,0,0.76065678,false,0,uniprotkb:Q8N983,0,0,No
308487,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9Y2Z4,230,1,0,0,0.76065678,false,0,uniprotkb:Q9Y2Z4,0,0,No
308488,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q96BP2,230,1,0,0,0.76065678,false,0,uniprotkb:Q96BP2,0,0,No
308489,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P04181,230,1,0,0,0.76065678,false,0,uniprotkb:P04181,0,0,No
308490,4.54973697,4.550950931777e-05,0.21979293,0,2,10,false,2,uniprotkb:Q9Y2R5,126,2,0,0,0.76335087,false,0,uniprotkb:Q9Y2R5,24314,0.51440329,No
308491,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q8NI60,230,1,0,0,0.76065678,false,0,uniprotkb:Q8NI60,0,0,No
308492,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9BZE1,230,1,0,0,0.76065678,false,0,uniprotkb:Q9BZE1,0,0,No
308493,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P49748,230,1,0,0,0.76065678,false,0,uniprotkb:P49748,0,0,No
308494,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q00325-2,230,1,0,0,0.76065678,false,0,uniprotkb:Q00325-2,0,0,No
